sigungu_code,sigungu_nm,q,mode,run2_ms,run3_ms,median_ms,top_type,top_index,top_rows,rows_removed,md5_same
11620,관악구,플라자,off,196.278,196.424,196.351,Seq Scan on,building,242631,,y
11650,서초구,빌딩,on,464.741,462.708,463.725,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11650,서초구,빌딩,off,293.238,290.836,292.037,Index Scan using,idx_msp_pnu,1,,y
11650,서초구,타워,on,373.443,373.28,373.361,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11650,서초구,타워,off,214.313,211.457,212.885,Seq Scan on,building,242631,,y
11650,서초구,상가,on,384.867,388.154,386.51,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11650,서초구,상가,off,208.249,207.093,207.671,Seq Scan on,building,242631,,y
11650,서초구,플라자,on,0.977,0.885,0.931,Index Scan using,idx_msp_pnu,1,,y
11650,서초구,플라자,off,197.752,198.678,198.215,Seq Scan on,building,242631,,y
11680,강남구,빌딩,on,477.443,475.763,476.603,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11680,강남구,빌딩,off,305.481,304.389,304.935,Index Scan using,idx_msp_pnu,1,,y
11680,강남구,타워,on,378.365,377.821,378.093,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11680,강남구,타워,off,216.342,216.456,216.399,Seq Scan on,building,242631,,y
11680,강남구,상가,on,388.005,387.027,387.516,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11680,강남구,상가,off,207.805,208.981,208.393,Seq Scan on,building,242631,,y
11680,강남구,플라자,on,1.478,1.361,1.419,Index Scan using,idx_msp_pnu,1,,y
11680,강남구,플라자,off,198.202,199.261,198.731,Seq Scan on,building,242631,,y
11710,송파구,빌딩,on,457.19,455.509,456.35,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11710,송파구,빌딩,off,284.176,283.119,283.648,Index Scan using,idx_msp_pnu,1,,y
11710,송파구,타워,on,373.484,373.549,373.516,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11710,송파구,타워,off,211.831,210.374,211.102,Seq Scan on,building,242631,,y
11710,송파구,상가,on,385.663,385.466,385.565,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11710,송파구,상가,off,204.74,207.402,206.071,Seq Scan on,building,242631,,y
11710,송파구,플라자,on,1.447,1.395,1.421,Index Scan using,idx_msp_pnu,1,,y
11710,송파구,플라자,off,196.475,196.368,196.421,Seq Scan on,building,242631,,y
11740,강동구,빌딩,on,454.674,454.502,454.588,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11740,강동구,빌딩,off,281.627,280.344,280.986,Index Scan using,idx_msp_pnu,1,,y
11740,강동구,타워,on,374.344,373.418,373.881,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11740,강동구,타워,off,211.954,210.574,211.264,Seq Scan on,building,242631,,y
11740,강동구,상가,on,386.728,386.886,386.807,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11740,강동구,상가,off,205.13,206.006,205.568,Seq Scan on,building,242631,,y
11740,강동구,플라자,on,0.876,0.872,0.874,Index Scan using,idx_msp_pnu,1,,y
11740,강동구,플라자,off,194.007,195.419,194.713,Seq Scan on,building,242631,,y
30110,동구(대전),빌딩,on,446.413,448.617,447.515,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30110,동구(대전),빌딩,off,276.894,283.432,280.163,Index Scan using,idx_msp_pnu,1,,y
30110,동구(대전),타워,on,369.835,370.712,370.274,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30110,동구(대전),타워,off,207.046,207.997,207.522,Seq Scan on,building,242631,,y
30110,동구(대전),상가,on,384.031,384.97,384.5,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30110,동구(대전),상가,off,209.387,204.051,206.719,Seq Scan on,building,242631,,y
30110,동구(대전),플라자,on,0.697,0.697,0.697,Index Scan using,idx_msp_pnu,1,,y
30110,동구(대전),플라자,off,194.541,196.642,195.591,Seq Scan on,building,242631,,y
30140,중구(대전),빌딩,on,451.764,449.016,450.39,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30140,중구(대전),빌딩,off,278.621,278.654,278.637,Index Scan using,idx_msp_pnu,1,,y
30140,중구(대전),타워,on,369.784,370.732,370.258,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30140,중구(대전),타워,off,211.814,210.852,211.333,Seq Scan on,building,242631,,y
30140,중구(대전),상가,on,383.282,386.356,384.819,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30140,중구(대전),상가,off,206.921,213.68,210.3,Seq Scan on,building,242631,,y
30140,중구(대전),플라자,on,0.698,0.729,0.714,Index Scan using,idx_msp_pnu,1,,y
30140,중구(대전),플라자,off,195.025,197.889,196.457,Seq Scan on,building,242631,,y
30170,서구(대전),빌딩,on,449.963,450.506,450.235,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30170,서구(대전),빌딩,off,280.711,282.022,281.366,Index Scan using,idx_msp_pnu,1,,y
30170,서구(대전),타워,on,372.726,372.586,372.656,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30170,서구(대전),타워,off,211.653,211.572,211.613,Seq Scan on,building,242631,,y
30170,서구(대전),상가,on,384.893,385.363,385.128,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30170,서구(대전),상가,off,208.376,208.908,208.642,Seq Scan on,building,242631,,y
30170,서구(대전),플라자,on,0.693,0.694,0.694,Index Scan using,idx_msp_pnu,1,,y
30170,서구(대전),플라자,off,197.953,196.619,197.286,Seq Scan on,building,242631,,y
30200,유성구,빌딩,on,448.703,447.298,448.0,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30200,유성구,빌딩,off,279.542,280.99,280.266,Index Scan using,idx_msp_pnu,1,,y
30200,유성구,타워,on,371.199,370.694,370.947,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30200,유성구,타워,off,210.825,212.17,211.498,Seq Scan on,building,242631,,y
30200,유성구,상가,on,383.115,383.338,383.226,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30200,유성구,상가,off,207.318,206.999,207.159,Seq Scan on,building,242631,,y
30200,유성구,플라자,on,0.784,0.783,0.784,Index Scan using,idx_msp_pnu,1,,y
30200,유성구,플라자,off,195.108,198.064,196.586,Seq Scan on,building,242631,,y
30230,대덕구,빌딩,on,445.511,447.433,446.472,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30230,대덕구,빌딩,off,277.317,277.294,277.305,Index Scan using,idx_msp_pnu,1,,y
30230,대덕구,타워,on,372.033,369.507,370.77,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30230,대덕구,타워,off,210.048,211.039,210.543,Seq Scan on,building,242631,,y
30230,대덕구,상가,on,382.666,382.822,382.744,Bitmap Index Scan on,idx_msp_road_key,188442,,y
30230,대덕구,상가,off,205.237,205.214,205.226,Seq Scan on,building,242631,,y
30230,대덕구,플라자,on,0.747,0.649,0.698,Index Scan using,idx_msp_pnu,1,,y
30230,대덕구,플라자,off,196.05,196.254,196.152,Seq Scan on,building,242631,,y
