sigungu_code,sigungu_nm,q,mode,run2_ms,run3_ms,median_ms,top_type,top_index,top_rows,rows_removed,md5_same
11290,성북구,학원,off,30.083,29.971,30.027,Index Scan using,idx_mpsn_sigungu,270,6390,y
11290,성북구,공인중개사,on,47.196,47.12,47.158,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11290,성북구,공인중개사,off,46.398,46.261,46.33,Index Scan using,idx_mpsn_sigungu,479,6181,y
11290,성북구,편의점,on,1.135,1.124,1.13,Bitmap Index Scan on,idx_mpsn_sigungu,6660,,y
11290,성북구,편의점,off,4.266,4.444,4.355,Index Scan using,idx_mpsn_sigungu,3,6657,y
11290,성북구,스타벅스,on,4.925,4.842,4.883,Bitmap Index Scan on,idx_mpsn_names,731,,y
11290,성북구,스타벅스,off,8.727,8.673,8.7,Index Scan using,idx_mpsn_sigungu,16,6644,y
11290,성북구,미용실,on,12.19,12.325,12.258,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11290,성북구,미용실,off,15.088,15.401,15.244,Index Scan using,idx_mpsn_sigungu,99,6561,y
11305,강북구,카페,on,224.03,224.997,224.514,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11305,강북구,카페,off,16.319,16.577,16.448,Index Scan using,idx_mpsn_sigungu,133,4973,y
11305,강북구,학원,on,226.742,226.502,226.622,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11305,강북구,학원,off,18.494,18.271,18.383,Index Scan using,idx_mpsn_sigungu,147,4959,y
11305,강북구,공인중개사,on,33.518,33.607,33.562,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11305,강북구,공인중개사,off,33.081,32.138,32.609,Index Scan using,idx_mpsn_sigungu,367,4739,y
11305,강북구,편의점,on,1.434,1.416,1.425,Bitmap Index Scan on,idx_mpsn_sigungu,5106,,y
11305,강북구,편의점,off,4.07,3.987,4.029,Index Scan using,idx_mpsn_sigungu,5,5101,y
11305,강북구,스타벅스,on,2.512,2.519,2.516,Bitmap Index Scan on,idx_mpsn_names,731,,y
11305,강북구,스타벅스,off,5.629,5.516,5.572,Index Scan using,idx_mpsn_sigungu,7,5099,y
11305,강북구,미용실,on,10.532,10.216,10.374,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11305,강북구,미용실,off,13.064,12.687,12.875,Index Scan using,idx_mpsn_sigungu,92,5014,y
11320,도봉구,카페,on,222.883,221.968,222.425,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11320,도봉구,카페,off,15.506,15.091,15.299,Index Scan using,idx_mpsn_sigungu,115,3527,y
11320,도봉구,학원,on,231.412,228.765,230.089,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11320,도봉구,학원,off,22.448,21.813,22.13,Index Scan using,idx_mpsn_sigungu,160,3482,y
11320,도봉구,공인중개사,on,31.638,31.994,31.816,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11320,도봉구,공인중개사,off,29.69,29.949,29.82,Index Scan using,idx_mpsn_sigungu,276,3366,y
11320,도봉구,편의점,on,3.206,3.255,3.231,Bitmap Index Scan on,idx_mpsn_sigungu,3642,,y
11320,도봉구,편의점,off,5.158,5.27,5.214,Index Scan using,idx_mpsn_sigungu,12,3630,y
11320,도봉구,스타벅스,on,2.373,2.339,2.356,Bitmap Index Scan on,idx_mpsn_names,731,,y
11320,도봉구,스타벅스,off,4.872,4.665,4.768,Index Scan using,idx_mpsn_sigungu,9,3633,y
11320,도봉구,미용실,on,10.868,10.9,10.884,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11320,도봉구,미용실,off,12.583,12.61,12.596,Index Scan using,idx_mpsn_sigungu,82,3560,y
11350,노원구,카페,on,237.207,237.051,237.129,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11350,노원구,카페,off,29.439,29.575,29.507,Index Scan using,idx_mpsn_sigungu,219,3204,y
11350,노원구,학원,on,242.626,241.687,242.156,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11350,노원구,학원,off,34.763,34.305,34.534,Index Scan using,idx_mpsn_sigungu,266,3157,y
11350,노원구,공인중개사,on,44.419,44.062,44.24,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11350,노원구,공인중개사,off,41.886,42.305,42.096,Index Scan using,idx_mpsn_sigungu,364,3059,y
11350,노원구,편의점,on,2.496,2.499,2.498,Bitmap Index Scan on,idx_mpsn_sigungu,3423,,y
11350,노원구,편의점,off,4.703,4.761,4.732,Index Scan using,idx_mpsn_sigungu,5,3418,y
11350,노원구,스타벅스,on,3.909,3.893,3.901,Bitmap Index Scan on,idx_mpsn_names,731,,y
11350,노원구,스타벅스,off,6.74,6.789,6.764,Index Scan using,idx_mpsn_sigungu,14,3409,y
11350,노원구,미용실,on,16.113,17.581,16.847,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11350,노원구,미용실,off,18.403,18.14,18.271,Index Scan using,idx_mpsn_sigungu,64,3359,y
11380,은평구,카페,on,228.73,231.9,230.315,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11380,은평구,카페,off,58.618,47.303,52.96,Index Scan using,idx_mpsn_sigungu,168,6037,y
11380,은평구,학원,on,232.496,232.682,232.589,Bitmap Index Scan on,idx_mpsn_names,184924,,y
